starttime	seconds	ctime	dtime	ttime	wait
Sat Dec 24 11:59:43 2022	1671883183	0	299	299	299
Sat Dec 24 11:59:43 2022	1671883183	0	299	299	299
Sat Dec 24 11:59:43 2022	1671883183	0	299	299	299
Sat Dec 24 11:59:43 2022	1671883183	0	299	299	299
Sat Dec 24 11:59:46 2022	1671883186	0	299	299	298
Sat Dec 24 11:59:42 2022	1671883182	0	299	299	299
Sat Dec 24 11:59:46 2022	1671883186	0	299	299	298
Sat Dec 24 11:59:43 2022	1671883183	0	299	299	299
Sat Dec 24 11:59:42 2022	1671883182	0	299	299	271
Sat Dec 24 11:59:45 2022	1671883185	0	299	299	299
Sat Dec 24 11:59:43 2022	1671883183	0	299	300	298
Sat Dec 24 11:59:43 2022	1671883183	0	300	300	299
Sat Dec 24 11:59:46 2022	1671883186	0	300	300	299
Sat Dec 24 11:59:41 2022	1671883181	1	298	300	298
Sat Dec 24 11:59:44 2022	1671883184	0	300	300	298
Sat Dec 24 11:59:45 2022	1671883185	0	300	300	299
Sat Dec 24 11:59:45 2022	1671883185	0	300	300	299
Sat Dec 24 11:59:43 2022	1671883183	0	300	300	299
Sat Dec 24 11:59:45 2022	1671883185	0	300	300	300
Sat Dec 24 11:59:44 2022	1671883184	0	300	300	299
Sat Dec 24 11:59:45 2022	1671883185	0	300	300	300
Sat Dec 24 11:59:45 2022	1671883185	0	300	300	300
Sat Dec 24 11:59:41 2022	1671883181	0	300	300	300
Sat Dec 24 11:59:43 2022	1671883183	0	300	300	299
Sat Dec 24 11:59:41 2022	1671883181	1	300	301	299
Sat Dec 24 11:59:44 2022	1671883184	0	301	301	300
Sat Dec 24 11:59:43 2022	1671883183	0	301	301	298
Sat Dec 24 11:59:45 2022	1671883185	0	301	301	300
Sat Dec 24 11:59:46 2022	1671883186	0	301	301	300
Sat Dec 24 11:59:44 2022	1671883184	0	301	301	300
Sat Dec 24 11:59:43 2022	1671883183	0	301	301	300
Sat Dec 24 11:59:42 2022	1671883182	0	301	301	301
Sat Dec 24 11:59:42 2022	1671883182	0	301	301	301
Sat Dec 24 11:59:45 2022	1671883185	0	301	301	261
Sat Dec 24 11:59:45 2022	1671883185	0	301	301	300
Sat Dec 24 11:59:43 2022	1671883183	0	301	302	301
Sat Dec 24 11:59:43 2022	1671883183	0	302	302	301
Sat Dec 24 11:59:43 2022	1671883183	0	302	302	301
Sat Dec 24 11:59:44 2022	1671883184	0	302	302	301
Sat Dec 24 11:59:44 2022	1671883184	0	302	302	301
Sat Dec 24 11:59:41 2022	1671883181	1	301	302	300
Sat Dec 24 11:59:41 2022	1671883181	1	301	302	300
Sat Dec 24 11:59:44 2022	1671883184	0	302	302	302
Sat Dec 24 11:59:43 2022	1671883183	0	302	302	302
Sat Dec 24 11:59:44 2022	1671883184	0	302	302	302
Sat Dec 24 11:59:43 2022	1671883183	0	302	302	302
Sat Dec 24 11:59:42 2022	1671883182	0	302	302	302
Sat Dec 24 11:59:43 2022	1671883183	0	302	302	302
Sat Dec 24 11:59:45 2022	1671883185	0	302	303	302
Sat Dec 24 11:59:44 2022	1671883184	0	303	303	302
Sat Dec 24 11:59:45 2022	1671883185	0	303	303	301
Sat Dec 24 11:59:41 2022	1671883181	0	303	303	302
Sat Dec 24 11:59:45 2022	1671883185	0	303	303	300
Sat Dec 24 11:59:45 2022	1671883185	0	303	303	302
Sat Dec 24 11:59:45 2022	1671883185	0	303	303	302
Sat Dec 24 11:59:44 2022	1671883184	0	303	303	303
Sat Dec 24 11:59:44 2022	1671883184	0	303	303	303
Sat Dec 24 11:59:45 2022	1671883185	0	303	303	303
Sat Dec 24 11:59:46 2022	1671883186	0	303	303	301
Sat Dec 24 11:59:43 2022	1671883183	0	303	304	303
Sat Dec 24 11:59:43 2022	1671883183	0	304	304	303
Sat Dec 24 11:59:45 2022	1671883185	0	304	304	304
Sat Dec 24 11:59:41 2022	1671883181	0	304	304	304
Sat Dec 24 11:59:46 2022	1671883186	0	304	304	304
Sat Dec 24 11:59:45 2022	1671883185	0	304	304	292
Sat Dec 24 11:59:44 2022	1671883184	0	304	304	304
Sat Dec 24 11:59:45 2022	1671883185	0	304	304	304
Sat Dec 24 11:59:43 2022	1671883183	0	305	305	304
Sat Dec 24 11:59:45 2022	1671883185	0	305	305	304
Sat Dec 24 11:59:42 2022	1671883182	0	305	305	304
Sat Dec 24 11:59:44 2022	1671883184	0	305	305	304
Sat Dec 24 11:59:44 2022	1671883184	0	305	305	304
Sat Dec 24 11:59:42 2022	1671883182	0	305	305	301
Sat Dec 24 11:59:45 2022	1671883185	0	305	305	305
Sat Dec 24 11:59:41 2022	1671883181	0	305	305	305
Sat Dec 24 11:59:44 2022	1671883184	0	305	306	305
Sat Dec 24 11:59:44 2022	1671883184	0	305	306	305
Sat Dec 24 11:59:44 2022	1671883184	0	306	306	305
Sat Dec 24 11:59:44 2022	1671883184	0	306	306	304
Sat Dec 24 11:59:45 2022	1671883185	0	306	306	305
Sat Dec 24 11:59:46 2022	1671883186	0	306	306	305
Sat Dec 24 11:59:42 2022	1671883182	0	306	306	305
Sat Dec 24 11:59:45 2022	1671883185	0	306	306	305
Sat Dec 24 11:59:46 2022	1671883186	0	306	306	306
Sat Dec 24 11:59:46 2022	1671883186	0	306	306	306
Sat Dec 24 11:59:46 2022	1671883186	0	306	306	305
Sat Dec 24 11:59:45 2022	1671883185	0	306	306	306
Sat Dec 24 11:59:44 2022	1671883184	0	307	307	303
Sat Dec 24 11:59:45 2022	1671883185	0	307	307	306
Sat Dec 24 11:59:45 2022	1671883185	0	307	307	302
Sat Dec 24 11:59:46 2022	1671883186	0	307	307	307
Sat Dec 24 11:59:43 2022	1671883183	0	307	307	307
Sat Dec 24 11:59:43 2022	1671883183	0	307	307	307
Sat Dec 24 11:59:44 2022	1671883184	0	307	307	307
Sat Dec 24 11:59:43 2022	1671883183	0	307	307	307
Sat Dec 24 11:59:41 2022	1671883181	1	307	307	306
Sat Dec 24 11:59:41 2022	1671883181	0	307	308	307
Sat Dec 24 11:59:43 2022	1671883183	0	308	308	307
Sat Dec 24 11:59:44 2022	1671883184	0	308	308	307
Sat Dec 24 11:59:44 2022	1671883184	0	308	308	307
Sat Dec 24 11:59:46 2022	1671883186	0	308	308	307
Sat Dec 24 11:59:44 2022	1671883184	0	308	308	307
Sat Dec 24 11:59:46 2022	1671883186	0	308	308	306
Sat Dec 24 11:59:45 2022	1671883185	0	308	308	267
Sat Dec 24 11:59:46 2022	1671883186	0	308	309	308
Sat Dec 24 11:59:44 2022	1671883184	0	309	309	308
Sat Dec 24 11:59:41 2022	1671883181	1	307	309	307
Sat Dec 24 11:59:43 2022	1671883183	0	309	309	309
Sat Dec 24 11:59:46 2022	1671883186	0	309	309	309
Sat Dec 24 11:59:43 2022	1671883183	0	309	309	308
Sat Dec 24 11:59:46 2022	1671883186	0	309	309	304
Sat Dec 24 11:59:44 2022	1671883184	0	309	310	309
Sat Dec 24 11:59:45 2022	1671883185	0	309	310	309
Sat Dec 24 11:59:44 2022	1671883184	0	310	310	305
Sat Dec 24 11:59:44 2022	1671883184	0	310	310	309
Sat Dec 24 11:59:44 2022	1671883184	0	310	310	282
Sat Dec 24 11:59:41 2022	1671883181	0	310	310	310
Sat Dec 24 11:59:46 2022	1671883186	0	310	310	310
Sat Dec 24 11:59:44 2022	1671883184	0	310	310	309
Sat Dec 24 11:59:44 2022	1671883184	0	310	310	310
Sat Dec 24 11:59:43 2022	1671883183	0	310	310	308
Sat Dec 24 11:59:44 2022	1671883184	0	310	311	309
Sat Dec 24 11:59:44 2022	1671883184	0	311	311	310
Sat Dec 24 11:59:46 2022	1671883186	0	311	311	309
Sat Dec 24 11:59:44 2022	1671883184	0	311	311	310
Sat Dec 24 11:59:44 2022	1671883184	0	311	311	308
Sat Dec 24 11:59:45 2022	1671883185	0	311	311	271
Sat Dec 24 11:59:45 2022	1671883185	0	311	311	311
Sat Dec 24 11:59:41 2022	1671883181	0	312	312	311
Sat Dec 24 11:59:42 2022	1671883182	0	312	312	312
