starttime	seconds	ctime	dtime	ttime	wait
Sat Dec 24 11:58:16 2022	1671883096	0	236	236	235
Sat Dec 24 11:58:17 2022	1671883097	0	236	236	235
Sat Dec 24 11:58:15 2022	1671883095	0	236	236	236
Sat Dec 24 11:58:17 2022	1671883097	0	236	236	235
Sat Dec 24 11:58:19 2022	1671883099	0	236	236	236
Sat Dec 24 11:58:16 2022	1671883096	0	236	236	235
Sat Dec 24 11:58:18 2022	1671883098	0	236	236	236
Sat Dec 24 11:58:19 2022	1671883099	0	236	236	236
Sat Dec 24 11:58:20 2022	1671883100	0	236	236	235
Sat Dec 24 11:58:17 2022	1671883097	0	236	236	236
Sat Dec 24 11:58:16 2022	1671883096	0	236	236	236
Sat Dec 24 11:58:19 2022	1671883099	0	236	236	236
Sat Dec 24 11:58:20 2022	1671883100	0	237	237	236
Sat Dec 24 11:58:20 2022	1671883100	0	237	237	235
Sat Dec 24 11:58:19 2022	1671883099	0	237	237	236
Sat Dec 24 11:58:15 2022	1671883095	0	237	237	236
Sat Dec 24 11:58:20 2022	1671883100	0	237	237	236
Sat Dec 24 11:58:20 2022	1671883100	0	237	237	236
Sat Dec 24 11:58:20 2022	1671883100	0	237	237	237
Sat Dec 24 11:58:20 2022	1671883100	0	237	237	237
Sat Dec 24 11:58:17 2022	1671883097	0	237	237	237
Sat Dec 24 11:58:17 2022	1671883097	0	237	238	236
Sat Dec 24 11:58:18 2022	1671883098	0	238	238	237
Sat Dec 24 11:58:15 2022	1671883095	0	238	238	236
Sat Dec 24 11:58:19 2022	1671883099	0	238	238	237
Sat Dec 24 11:58:20 2022	1671883100	0	238	238	237
Sat Dec 24 11:58:19 2022	1671883099	0	238	238	237
Sat Dec 24 11:58:15 2022	1671883095	0	238	238	237
Sat Dec 24 11:58:16 2022	1671883096	0	238	238	236
Sat Dec 24 11:58:16 2022	1671883096	0	238	238	237
Sat Dec 24 11:58:17 2022	1671883097	0	238	238	237
Sat Dec 24 11:58:19 2022	1671883099	0	238	238	238
Sat Dec 24 11:58:20 2022	1671883100	0	238	238	237
Sat Dec 24 11:58:17 2022	1671883097	0	238	238	238
Sat Dec 24 11:58:17 2022	1671883097	0	238	238	237
Sat Dec 24 11:58:17 2022	1671883097	0	238	238	237
Sat Dec 24 11:58:15 2022	1671883095	0	238	238	237
Sat Dec 24 11:58:19 2022	1671883099	0	238	238	238
Sat Dec 24 11:58:15 2022	1671883095	0	238	239	238
Sat Dec 24 11:58:17 2022	1671883097	0	239	239	238
Sat Dec 24 11:58:16 2022	1671883096	0	239	239	238
Sat Dec 24 11:58:20 2022	1671883100	0	239	239	238
Sat Dec 24 11:58:17 2022	1671883097	0	239	239	238
